seed,fold,baseline_gmfe,fractal_gmfe,baseline_2fold,fractal_2fold
1,1,2.6574955192960013,2.8350539270121193,50.0,48.25581395348838
1,2,3.030144572634161,2.789095971494412,43.02325581395349,47.093023255813954
1,3,2.4071295281308314,2.5001849644124556,44.76744186046512,45.348837209302324
1,4,2.5224527564315027,2.475278523660171,43.02325581395349,44.18604651162791
1,5,2.512201386377883,2.5983232482818677,45.97701149425287,39.6551724137931
2,1,2.656407350972584,2.5380172234008302,43.604651162790695,47.093023255813954
2,2,2.9977469076586893,2.6221209077069307,37.7906976744186,47.674418604651166
2,3,2.6361443723622613,2.5121408560741205,41.27906976744186,47.674418604651166
2,4,2.544203263639074,2.7043981877759182,47.674418604651166,44.76744186046512
2,5,2.683432817266016,2.8251454225346206,42.5287356321839,37.35632183908046
3,1,2.6039682420566375,2.825275834364048,43.02325581395349,34.883720930232556
3,2,2.639547553866089,2.5191921060941693,39.53488372093023,45.348837209302324
3,3,3.222562995374204,3.122363766372234,37.2093023255814,40.69767441860465
3,4,2.495749691721985,2.6429342253680885,43.604651162790695,41.86046511627907
3,5,2.5156181006936746,2.4648317259771284,44.827586206896555,49.42528735632184
4,1,2.923912998340307,3.228660048150807,40.69767441860465,34.883720930232556
4,2,2.5996555046762015,2.5518009317224823,47.093023255813954,41.86046511627907
4,3,2.5155727907820458,2.499219986193969,48.25581395348838,44.76744186046512
4,4,2.595430540971322,2.466256785157042,46.51162790697674,50.0
4,5,2.5168879122079097,2.4727708012369845,47.701149425287355,51.724137931034484
5,1,2.738933736357072,2.777587634962199,41.27906976744186,44.18604651162791
5,2,2.4412461695406984,2.3745845983610048,45.93023255813954,48.25581395348838
5,3,2.6640126969721485,2.5954404492973984,42.44186046511628,45.93023255813954
5,4,2.8339918034844507,2.8531020787762715,44.18604651162791,44.76744186046512
5,5,2.552887432410993,2.732350653909505,51.14942528735632,42.5287356321839
6,1,2.4924773992507236,2.5562053352647527,47.674418604651166,47.674418604651166
6,2,2.518147439172738,2.6832142208540524,47.093023255813954,41.86046511627907
6,3,2.6524800600201637,2.6691537910314724,46.51162790697674,45.348837209302324
6,4,2.6622037337481275,2.785321952932669,41.27906976744186,38.372093023255815
6,5,2.7083416833031224,2.6680609882847905,36.7816091954023,43.103448275862064
7,1,2.6711283420804075,2.6481590378333175,46.51162790697674,43.604651162790695
7,2,2.482962680803658,2.5873859940988715,43.604651162790695,39.53488372093023
7,3,2.7607320593999325,2.530496765519686,40.116279069767444,46.51162790697674
7,4,2.752839368154994,2.631681511950043,40.69767441860465,43.604651162790695
7,5,2.6626037340007964,2.7451355034729303,42.5287356321839,42.5287356321839
8,1,2.7629399131186583,2.743070658806087,43.604651162790695,40.116279069767444
8,2,2.5465413077908354,2.707692545451966,47.093023255813954,45.93023255813954
8,3,2.774155065627664,2.7063111971405154,44.76744186046512,45.93023255813954
8,4,2.6367114286812763,2.5407774434523094,44.76744186046512,48.25581395348838
8,5,2.540585920296631,2.4429168671539494,40.804597701149426,44.827586206896555
9,1,2.5409401222518557,2.6990738679321287,46.51162790697674,36.627906976744185
9,2,2.3740182647154717,2.4051659327537123,50.58139534883721,50.58139534883721
9,3,2.6822387704607253,2.523097188275123,48.25581395348838,50.0
9,4,2.6201732308823256,2.6640379394713314,43.604651162790695,43.02325581395349
9,5,2.936715576729451,2.8694770248163426,43.103448275862064,39.6551724137931
10,1,2.666790803974643,2.6472097535498116,42.44186046511628,42.44186046511628
10,2,2.6415165590405736,2.728928600277632,46.51162790697674,41.27906976744186
10,3,2.8240011568149805,2.789951797361402,37.7906976744186,41.86046511627907
10,4,2.5389677493148533,2.48111300475512,48.25581395348838,44.76744186046512
10,5,2.6070825450357957,2.6602630319394294,46.55172413793103,44.252873563218394
