assay_type,canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value,query_label,query_standard_type,units_hint,dataset
A,C[C@H](C(=O)Nc1cc(C2CC2)[nH]n1)c1ccc(N2CCCC2=O)cc1,CHEMBL191144,Vdss,L.kg-1,0.28,Vss,ml kg-1,280.0,volume_distribution,VDss,(L/kg|L),ChEMBL
A,C[C@H](C(=O)Nc1cc(C2CC2)[nH]n1)c1ccc(N2CCOC2=O)cc1,CHEMBL191834,Vdss,L.kg-1,0.573,Vss,ml kg-1,573.0,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CONC(=O)c1cc(Nc2ncnn3cc(-c4nnc(C(F)(F)S(C)(=O)=O)o4)c(C(C)C)c23)c(F)cc1F,CHEMBL195903,Vdss,L.kg-1,0.45,Vss,l kg-1,0.45,volume_distribution,VDss,(L/kg|L),ChEMBL
A,O=C(/C=C/c1ccc(C(F)(F)F)nc1N1CCOCC1)Nc1ccc2cccnc2c1,CHEMBL191247,Vdss,L.kg-1,1.1,Vss,ml kg-1,1100.0,volume_distribution,VDss,(L/kg|L),ChEMBL
A,O=C(/C=C/c1ccc(C(F)(F)F)nc1N1CCCCC1)Nc1ccc2cccnc2c1,CHEMBL190874,Vdss,L.kg-1,2.8,Vss,ml kg-1,2800.0,volume_distribution,VDss,(L/kg|L),ChEMBL
A,Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(N2CCN3CCCCC3C2)cc1,CHEMBL195212,Vdss,L.kg-1,9.2,Vss,l kg-1,9.2,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CN1CCC(c2ccc(C3c4ccc(O)cc4CCN3c3ccc(F)cc3)cc2)CC1,CHEMBL192187,Vdss,L.kg-1,15.8,Vss,l kg-1,15.8,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CC(C)N1CCN(c2ccc(C3c4ccc(O)cc4CCN3c3cccc(O)c3)cc2)CC1,CHEMBL364492,Vdss,L.kg-1,5.0,Vss,l kg-1,5.0,volume_distribution,VDss,(L/kg|L),ChEMBL
A,Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(OCCN2CCCCC2)cc1,CHEMBL101382,Vdss,L.kg-1,13.8,Vss,l kg-1,13.8,volume_distribution,VDss,(L/kg|L),ChEMBL
A,Oc1ccc2c(c1)CC[C@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1,CHEMBL328190,Vdss,L.kg-1,14.7,Vss,l kg-1,14.7,volume_distribution,VDss,(L/kg|L),ChEMBL
A,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,CHEMBL81,Vdss,L.kg-1,17.6,Vss,l kg-1,17.6,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CC(C)(C)c1ccc(/C=C/C(=O)Nc2ccc3c(c2)OCCO3)cc1,CHEMBL195789,Vdss,L.kg-1,2.1,Vss,ml kg-1,2100.0,volume_distribution,VDss,(L/kg|L),ChEMBL
A,Nc1[nH]cc[n+]1Cc1[nH]c(=O)[nH]c(=O)c1Br,CHEMBL122679,Vdss,L.kg-1,1.3,Vdss,l kg-1,1.3,volume_distribution,VDss,(L/kg|L),ChEMBL
A,Cl.N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl,CHEMBL65375,Vdss,L.kg-1,2.1,Vdss,l kg-1,2.1,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(-c3cccc(-c4ccccn4)c3)o2)c1.CS(=O)(=O)O,CHEMBL193849,Vdss,L.kg-1,1.032,Vdss,ml kg-1,1032.0,volume_distribution,VDss,(L/kg|L),ChEMBL
