canonical_smiles,fu,vd,clearance,source,split_original,chembl_id,priority
C#CCN(C)Cc1ccc(OCCCCCN2CCN(c3cccc4c3ccn4S(=O)(=O)c3ccccc3)CC2)cc1,,,85.0,ChEMBL,,CHEMBL4741978,1
C#CCN(C)Cc1cccc(NC(=O)CCCCCCC(=O)NO)c1,,,55.915,ChEMBL,,CHEMBL5171489,1
C#CCN(C)[C@H](C)Cc1ccccc1,0.2709,1.9,20.0,KEC+merged+merged,train,,3
C#CCN(C)[C@H](C[18F])Cc1ccccc1,0.20450000000000002,,,ChEMBL,,CHEMBL1911925,1
C#CCN(CC#C)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN,,,7.9,ChEMBL,,CHEMBL402441,1
C#CCN(CC#C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,,,22.8,ChEMBL,,CHEMBL513248,1
C#CCN(CC#C)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,,,22.3,ChEMBL,,CHEMBL257388,1
C#CCN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,,,44.0,ChEMBL,,CHEMBL472253,1
C#CCN(CC=C)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,,,23.3,ChEMBL,,CHEMBL255450,1
C#CCN(CCC(=O)Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O)CCN(C)c1cc(OC)c(Nc2nccc(-c3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,,,37.07,ChEMBL,,CHEMBL5174089,1
C#CCN(CCCC(=O)Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O)CCN(C)c1cc(OC)c(Nc2nccc(-c3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,,,34.55,ChEMBL,,CHEMBL5180541,1
C#CCN(CCOC)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,,,10.3,ChEMBL,,CHEMBL257390,1
C#CCN(Cc1cc2c(=O)nc(C)[nH]c2cc1C)c1ccc(C(=O)NC(CCc2nnn[n-]2)C(=O)[O-])c(F)c1,,0.53,,KEC,train,,3
C#CCN(Cc1ccc(F)cc1)c1cc(C)c(NC(=O)OC)c(C)c1,,,101.1,ChEMBL,,CHEMBL5180351,1
C#CCN1C(=O)[C@H](C)N(C)c2nc(Nc3cc(F)c(O)c(F)c3)ncc21,,,16.299999999999997,ChEMBL,,CHEMBL5559444,1
C#CCN1C[C@H](C(=O)NO)[C@H](NC(=O)c2ccc(Cc3cc(C)nc4ccccc34)cc2)C1,,0.8,36.67,ChEMBL,,CHEMBL233629,1
